qid,answer,prompt_tokens,completion_tokens,total_tokens
summary,,1605056,82712,1687768
ins_a_001,A,17737,1200,18937
ins_a_002,A,15199,938,16137
ins_a_003,A,15755,1200,16955
ins_a_004,A,16872,861,17733
ins_a_005,ABCD,15905,351,16256
ins_a_006,A,16394,1200,17594
ins_a_007,C,14920,1600,16520
ins_a_008,AC,14636,1019,15655
ins_a_009,C,15296,684,15980
ins_a_010,ABC,15140,1060,16200
ins_a_011,D,15869,1600,17469
ins_a_012,A,14804,1600,16404
ins_a_013,A,14163,926,15089
ins_a_014,ABD,15493,408,15901
ins_a_015,ABC,15091,824,15915
ins_a_016,A,11588,1600,13188
ins_a_017,ABCD,16476,949,17425
ins_a_018,BCD,14115,931,15046
ins_a_019,A,12469,1600,14069
ins_a_020,D,14841,1200,16041
fin_a_001,ABD,20455,1229,21684
fin_a_002,ABD,19434,824,20258
fin_a_003,A,19465,649,20114
fin_a_004,D,20475,1600,22075
fin_a_005,ABD,19663,1600,21263
fin_a_006,A,20686,663,21349
fin_a_007,ABD,19834,805,20639
fin_a_008,C,19338,1200,20538
fin_a_009,ABC,19870,744,20614
fin_a_010,A,19108,309,19417
fin_a_011,ACD,19884,1229,21113
fin_a_012,A,19421,1600,21021
fin_a_013,A,16756,677,17433
fin_a_014,A,19248,1600,20848
fin_a_015,C,20118,1200,21318
fin_a_016,A,19702,1600,21302
fin_a_017,AC,20307,508,20815
fin_a_018,A,19155,587,19742
fin_a_019,AC,20451,1600,22051
fin_a_020,AB,19917,925,20842
fc_a_001,ABD,14296,402,14698
fc_a_002,A,13665,579,14244
fc_a_003,A,14076,141,14217
fc_a_004,AD,14922,510,15432
fc_a_005,AB,14211,470,14681
fc_a_006,A,14488,616,15104
fc_a_007,BD,13936,803,14739
fc_a_008,B,15729,652,16381
fc_a_009,D,16283,1084,17367
fc_a_010,A,15054,424,15478
fc_a_011,AB,15354,361,15715
fc_a_012,CD,16500,1372,17872
fc_a_013,B,14248,503,14751
fc_a_014,A,14957,1600,16557
fc_a_015,A,14753,1200,15953
fc_a_016,BC,15293,882,16175
fc_a_017,ABD,15356,1132,16488
fc_a_018,A,14844,587,15431
fc_a_019,AB,15854,490,16344
fc_a_020,ABCD,14945,1600,16545
reg_a_001,CD,13592,761,14353
reg_a_002,AC,13337,641,13978
reg_a_003,A,13362,535,13897
reg_a_004,ABC,13198,450,13648
reg_a_005,ABC,13348,1600,14948
reg_a_006,A,13429,355,13784
reg_a_007,AC,13518,715,14233
reg_a_008,A,13382,600,13982
reg_a_009,BD,13460,620,14080
reg_a_010,B,14132,386,14518
reg_a_011,A,13745,1600,15345
reg_a_012,AB,13617,1458,15075
reg_a_013,A,13766,204,13970
reg_a_014,ABD,13788,319,14107
reg_a_015,C,13384,425,13809
reg_a_016,A,15002,1600,16602
reg_a_017,AB,14192,520,14712
reg_a_018,A,13976,397,14373
reg_a_019,ABD,15502,915,16417
reg_a_020,ABD,14368,430,14798
res_a_001,ABC,16037,680,16717
res_a_002,AC,16647,895,17542
res_a_003,A,15087,677,15764
res_a_004,A,15075,601,15676
res_a_005,ABC,17776,242,18018
res_a_006,A,15951,98,16049
res_a_007,ABC,14843,324,15167
res_a_008,A,15465,490,15955
res_a_009,AC,15495,310,15805
res_a_010,A,16851,201,17052
res_a_011,C,16735,320,17055
res_a_012,AB,14995,311,15306
res_a_013,B,16704,324,17028
res_a_014,ABC,17259,272,17531
res_a_015,A,16857,534,17391
res_a_016,CD,18421,507,18928
res_a_017,ABD,16576,541,17117
res_a_018,B,19665,881,20546
res_a_019,AB,19556,248,19804
res_a_020,AB,18149,1417,19566
