qid,answer,prompt_tokens,completion_tokens,total_tokens
summary,,981108,112369,1093477
ins_a_001,B,3534,405,3939
ins_a_002,A,3388,388,3776
ins_a_003,B,3654,418,4072
ins_a_004,A,4552,521,5073
ins_a_005,AB,18458,2114,20572
ins_a_006,C,3194,366,3560
ins_a_007,C,14420,1652,16072
ins_a_008,C,18672,2138,20810
ins_a_009,AC,13793,1580,15373
ins_a_010,B,12935,1482,14417
ins_a_011,A,19542,2238,21780
ins_a_012,A,9015,1032,10047
ins_a_013,A,2655,304,2959
ins_a_014,C,20930,2397,23327
ins_a_015,A,17430,1996,19426
ins_a_016,C,17040,1952,18992
ins_a_017,ABC,17076,1956,19032
ins_a_018,BC,11380,1303,12683
ins_a_019,A,5227,599,5826
ins_a_020,D,3508,402,3910
fin_a_001,B,18933,2168,21101
fin_a_002,AD,19202,2199,21401
fin_a_003,B,3117,357,3474
fin_a_004,BD,19760,2263,22023
fin_a_005,AD,18312,2097,20409
fin_a_006,B,1507,173,1680
fin_a_007,ABD,14231,1630,15861
fin_a_008,B,3733,427,4160
fin_a_009,AB,14351,1644,15995
fin_a_010,A,1318,151,1469
fin_a_011,C,10937,1253,12190
fin_a_012,D,14739,1688,16427
fin_a_013,A,1255,144,1399
fin_a_014,B,14403,1650,16053
fin_a_015,C,3573,409,3982
fin_a_016,A,13092,1500,14592
fin_a_017,A,18036,2066,20102
fin_a_018,B,1146,131,1277
fin_a_019,AB,17854,2045,19899
fin_a_020,AB,19789,2266,22055
fc_a_001,ABD,11879,1360,13239
fc_a_002,AD,8867,1016,9883
fc_a_003,A,1101,126,1227
fc_a_004,C,13278,1521,14799
fc_a_005,AB,12570,1440,14010
fc_a_006,B,1294,148,1442
fc_a_007,A,16946,1941,18887
fc_a_008,B,3292,377,3669
fc_a_009,AB,13651,1564,15215
fc_a_010,A,1340,153,1493
fc_a_011,A,15554,1781,17335
fc_a_012,AC,13867,1588,15455
fc_a_013,B,2215,254,2469
fc_a_014,B,13049,1495,14544
fc_a_015,B,3284,376,3660
fc_a_016,BC,12643,1448,14091
fc_a_017,A,11149,1277,12426
fc_a_018,B,1276,146,1422
fc_a_019,B,12394,1420,13814
fc_a_020,A,13789,1579,15368
reg_a_001,ACD,11520,1319,12839
reg_a_002,AB,11211,1284,12495
reg_a_003,A,972,111,1083
reg_a_004,ABC,11382,1304,12686
reg_a_005,AB,11865,1359,13224
reg_a_006,A,962,110,1072
reg_a_007,AC,11434,1310,12744
reg_a_008,A,2921,335,3256
reg_a_009,ABD,11489,1316,12805
reg_a_010,B,1112,127,1239
reg_a_011,AC,11582,1326,12908
reg_a_012,AB,12293,1408,13701
reg_a_013,A,1056,121,1177
reg_a_014,AD,7966,912,8878
reg_a_015,C,2998,343,3341
reg_a_016,ABD,12388,1419,13807
reg_a_017,AB,11951,1369,13320
reg_a_018,A,1096,126,1222
reg_a_019,ABD,12944,1482,14426
reg_a_020,ABD,10418,1193,11611
res_a_001,ABC,14597,1672,16269
res_a_002,AC,13111,1502,14613
res_a_003,B,1279,146,1425
res_a_004,AB,10893,1248,12141
res_a_005,AB,14733,1687,16420
res_a_006,B,1435,164,1599
res_a_007,ABC,13551,1552,15103
res_a_008,A,3418,391,3809
res_a_009,ABC,11555,1323,12878
res_a_010,A,1274,146,1420
res_a_011,BC,14533,1664,16197
res_a_012,AB,12374,1417,13791
res_a_013,B,1091,125,1216
res_a_014,AB,11987,1373,13360
res_a_015,A,3927,450,4377
res_a_016,AC,15090,1728,16818
res_a_017,AB,13529,1549,15078
res_a_018,B,1523,174,1697
res_a_019,AB,13429,1538,14967
res_a_020,AB,15093,1729,16822
