qid,answer,prompt_tokens,completion_tokens,total_tokens
summary,,1588859,56009,1644868
ins_a_001,A,15642,1200,16842
ins_a_002,A,14741,656,15397
ins_a_003,D,16135,1197,17332
ins_a_004,A,16009,848,16857
ins_a_005,AB,15804,765,16569
ins_a_006,A,16139,1200,17339
ins_a_007,C,15007,449,15456
ins_a_008,AC,15771,646,16417
ins_a_009,C,15121,676,15797
ins_a_010,AB,15601,781,16382
ins_a_011,ABCD,15997,661,16658
ins_a_012,A,15480,452,15932
ins_a_013,A,13081,686,13767
ins_a_014,BC,16180,599,16779
ins_a_015,A,16054,661,16715
ins_a_016,CD,15300,367,15667
ins_a_017,C,15606,1200,16806
ins_a_018,BC,15900,380,16280
ins_a_019,AC,14430,668,15098
ins_a_020,D,16123,878,17001
fin_a_001,A,16889,575,17464
fin_a_002,D,16785,587,17372
fin_a_003,A,17375,460,17835
fin_a_004,A,16769,489,17258
fin_a_005,AD,16846,743,17589
fin_a_006,A,19157,550,19707
fin_a_007,AD,17554,481,18035
fin_a_008,A,16596,1200,17796
fin_a_009,ABC,17305,449,17754
fin_a_010,A,17403,279,17682
fin_a_011,C,16578,710,17288
fin_a_012,A,16807,795,17602
fin_a_013,A,17661,546,18207
fin_a_014,AB,16219,619,16838
fin_a_015,A,17312,925,18237
fin_a_016,ACD,17012,1200,18212
fin_a_017,C,16931,377,17308
fin_a_018,A,16641,507,17148
fin_a_019,AB,17500,490,17990
fin_a_020,AB,17163,631,17794
fc_a_001,ABD,14354,646,15000
fc_a_002,ABD,15712,1087,16799
fc_a_003,A,15068,202,15270
fc_a_004,A,14807,450,15257
fc_a_005,AB,15637,334,15971
fc_a_006,A,16046,732,16778
fc_a_007,D,15679,578,16257
fc_a_008,B,15217,493,15710
fc_a_009,A,15593,505,16098
fc_a_010,A,15921,396,16317
fc_a_011,A,15180,546,15726
fc_a_012,D,15533,437,15970
fc_a_013,A,15117,725,15842
fc_a_014,AB,15665,547,16212
fc_a_015,A,15002,1200,16202
fc_a_016,BC,15278,416,15694
fc_a_017,AD,15029,668,15697
fc_a_018,B,15443,295,15738
fc_a_019,A,16431,434,16865
fc_a_020,BC,15673,509,16182
reg_a_001,ACD,14542,653,15195
reg_a_002,ABC,13997,557,14554
reg_a_003,B,13799,592,14391
reg_a_004,ABC,14165,467,14632
reg_a_005,BC,14655,502,15157
reg_a_006,A,14079,260,14339
reg_a_007,AC,14474,626,15100
reg_a_008,A,14711,831,15542
reg_a_009,AD,14644,419,15063
reg_a_010,B,15008,389,15397
reg_a_011,AD,14929,488,15417
reg_a_012,ABD,14570,380,14950
reg_a_013,A,14720,204,14924
reg_a_014,AD,14762,446,15208
reg_a_015,C,14242,549,14791
reg_a_016,ABD,15641,614,16255
reg_a_017,AB,15577,515,16092
reg_a_018,A,14850,309,15159
reg_a_019,ABD,15853,573,16426
reg_a_020,ABD,15408,535,15943
res_a_001,ABC,16659,461,17120
res_a_002,AC,13932,409,14341
res_a_003,B,15227,328,15555
res_a_004,A,16382,500,16882
res_a_005,AB,16799,287,17086
res_a_006,B,17429,257,17686
res_a_007,ABC,15781,331,16112
res_a_008,A,15389,505,15894
res_a_009,ABC,16115,355,16470
res_a_010,A,16808,139,16947
res_a_011,BC,16653,483,17136
res_a_012,AB,14887,315,15202
res_a_013,B,16438,197,16635
res_a_014,B,16874,423,17297
res_a_015,C,17561,433,17994
res_a_016,AC,17502,378,17880
res_a_017,A,16049,327,16376
res_a_018,A,19944,501,20445
res_a_019,AB,19086,300,19386
res_a_020,AD,17709,388,18097
